key,original,translate,needCheck
filters/map_filters/ultimatum_hint/null,Any,任何,
filters/map_filters/ultimatum_hint/Victorious,Victorious,勝利,
filters/misc_filters,Miscellaneous,其它,
filters/misc_filters/area_level,Area Level,區域等級,
filters/misc_filters/corrupted,Corrupted,已汙染,
filters/misc_filters/corrupted/false,No,否,
filters/misc_filters/corrupted/null,Any,任何,
filters/misc_filters/corrupted/true,Yes,是,
filters/misc_filters/crafted,Crafted,已工藝,
filters/misc_filters/crafted/false,No,否,
filters/misc_filters/crafted/null,Any,任何,
filters/misc_filters/crafted/true,Yes,是,
filters/misc_filters/desecrated,Desecrated,褻瀆,
filters/misc_filters/desecrated/false,No,否,
filters/misc_filters/desecrated/null,Any,任何,
filters/misc_filters/desecrated/true,Yes,是,
filters/misc_filters/foreseeing,Foreseeing,預見,
filters/misc_filters/foreseeing/false,No,否,
filters/misc_filters/foreseeing/null,Any,任何,
filters/misc_filters/foreseeing/true,Yes,是,
filters/misc_filters/fractured_item,Fractured,破裂,
filters/misc_filters/fractured_item/false,No,否,
filters/misc_filters/fractured_item/null,Any,任何,
filters/misc_filters/fractured_item/true,Yes,是,
filters/misc_filters/gem_level,Gem Level,寶石等級,
filters/misc_filters/gem_sockets,Gem Sockets,寶石插槽,
filters/misc_filters/identified,Identified,已鑑定,
filters/misc_filters/identified/false,No,否,
filters/misc_filters/identified/null,Any,任何,
filters/misc_filters/identified/true,Yes,是,
filters/misc_filters/mirrored,Mirrored,已複製,
filters/misc_filters/mirrored/false,No,否,
filters/misc_filters/mirrored/null,Any,任何,
filters/misc_filters/mirrored/true,Yes,是,
filters/misc_filters/mutated,Cultivated Vaal Unique,已培育的瓦爾傳奇,
filters/misc_filters/mutated/false,No,否,
filters/misc_filters/mutated/null,Any,任何,
filters/misc_filters/mutated/true,Yes,是,
filters/misc_filters/sanctified,Sanctified,聖化,
filters/misc_filters/sanctified/false,No,否,
filters/misc_filters/sanctified/null,Any,任何,
filters/misc_filters/sanctified/true,Yes,是,
filters/misc_filters/sanctum_gold,Barya Sacred Water,巨靈之幣神聖之水,
filters/misc_filters/stack_size,Stack Size,堆疊數量,
filters/misc_filters/twice_corrupted,Twice Corrupted,雙重腐化,
filters/misc_filters/twice_corrupted/false,No,否,
filters/misc_filters/twice_corrupted/null,Any,任何,
filters/misc_filters/twice_corrupted/true,Yes,是,
filters/misc_filters/unidentified_tier,Unidentified Tier,未鑑定階級,
filters/misc_filters/veiled,Unrevealed,未揭露,
filters/misc_filters/veiled/false,No,否,
filters/misc_filters/veiled/null,Any,任何,
filters/misc_filters/veiled/true,Yes,是,
filters/req_filters,Requirements,物品需求,
filters/req_filters/dex,Dexterity,敏捷,
filters/req_filters/int,Intelligence,智慧,
filters/req_filters/lvl,Level,等級,
filters/req_filters/str,Strength,力量,
filters/status_filters/status/any,Any,任何,
filters/status_filters/status/available,Instant Buyout and In Person,即刻購買以及面對面交易,
filters/status_filters/status/online,In Person (Online),面對面交易(在線),
filters/status_filters/status/onlineleague,In Person (Online in League),面對面交易(聯盟在線),
filters/status_filters/status/securable,Instant Buyout,即刻購買,
filters/trade_filters,Trade Filters,交易過濾,
filters/trade_filters/account,Seller Account,賣家帳號,
filters/trade_filters/collapse,Collapse Listings by Account,透過帳號摺疊名單,
filters/trade_filters/collapse/null,No,否,
filters/trade_filters/collapse/true,Yes,是,
filters/trade_filters/fee,Gold Fee,金幣手續費,
filters/trade_filters/indexed,Listed,標示,
filters/trade_filters/indexed/12hours,Up to 12 Hours Ago,12 小時前,
filters/trade_filters/indexed/1day,Up to a Day Ago,至多 1 天前,
filters/trade_filters/indexed/1hour,Up to an Hour Ago,1 小時前,
filters/trade_filters/indexed/1month,Up to 1 Month Ago,至多 1 個月前,
filters/trade_filters/indexed/1week,Up to a Week Ago,至多 1 個禮拜前,
filters/trade_filters/indexed/2months,Up to 2 Months Ago,至多 2 個月前,
filters/trade_filters/indexed/2weeks,Up to 2 Weeks Ago,至多 2 個禮拜前,
filters/trade_filters/indexed/3days,Up to 3 Days Ago,至多 3 天前,
filters/trade_filters/indexed/3hours,Up to 3 Hours Ago,3 小時前,
filters/trade_filters/indexed/null,Any Time,任何時間,
filters/trade_filters/price,Buyout Price,直購價,
filters/trade_filters/price/alch,Orb of Alchemy,點金石,
filters/trade_filters/price/annul,Orb of Annulment,無效石,
filters/trade_filters/price/aug,Orb of Augmentation,增幅石,
filters/trade_filters/price/chaos,Chaos Orb,混沌石,
filters/trade_filters/price/divine,Divine Orb,神聖石,
filters/trade_filters/price/exalted,Exalted Orb,崇高石,
filters/trade_filters/price/exalted_divine,Exalted or Divine Orbs,崇高石或神聖石,
filters/trade_filters/price/mirror,Mirror of Kalandra,卡蘭德魔鏡,
filters/trade_filters/price/null,Exalted Orb Equivalent,等同崇高石,
filters/trade_filters/price/regal,Regal Orb,富豪石,
filters/trade_filters/price/transmute,Orb of Transmutation,蛻變石,
filters/trade_filters/price/vaal,Vaal Orb,瓦爾寶珠,
filters/trade_filters/sale_type,Sale Type,販售型式,
filters/trade_filters/sale_type/any,Any,任何,
filters/trade_filters/sale_type/null,Buyout or Fixed Price,直購價或定價,
filters/trade_filters/sale_type/priced_with_info,Price with Note,標價：,
filters/trade_filters/sale_type/unpriced,No Listed Price,無定價,
filters/type_filters,Type Filters,類別過濾,
filters/type_filters/category,Item Category,道具分類,
filters/type_filters/category/accessory,Any Accessory,配件,
filters/type_filters/category/accessory.amulet,Amulet,項鍊,
filters/type_filters/category/accessory.belt,Belt,腰帶,
filters/type_filters/category/accessory.ring,Ring,戒指,
filters/type_filters/category/armour,Any Armour,任意護甲,
filters/type_filters/category/armour.boots,Boots,鞋子,
filters/type_filters/category/armour.buckler,Buckler,輕盾,
filters/type_filters/category/armour.chest,Body Armour,胸甲,
filters/type_filters/category/armour.focus,Focus,法器,
filters/type_filters/category/armour.gloves,Gloves,手套,
filters/type_filters/category/armour.helmet,Helmet,頭盔,
filters/type_filters/category/armour.quiver,Quiver,箭袋,
filters/type_filters/category/armour.shield,Shield,盾,
filters/type_filters/category/card,Divination Card,命運卡,
filters/type_filters/category/currency,Any Currency,任何通貨,
filters/type_filters/category/currency.idol,Idol,魔偶,
filters/type_filters/category/currency.omen,Omen,預兆,
filters/type_filters/category/currency.rune,Rune,符文,
filters/type_filters/category/currency.socketable,Any Augment,任何增幅,
filters/type_filters/category/currency.soulcore,Soul Core,靈魂核心,
filters/type_filters/category/flask,Any Flask,任何藥劑,
filters/type_filters/category/flask.charm,Charm,Charm,
filters/type_filters/category/flask.life,Life Flask,生命藥劑,
filters/type_filters/category/flask.mana,Mana Flask,魔力藥劑,
filters/type_filters/category/gem,Any Gem,任何寶石,
filters/type_filters/category/gem.activegem,Skill Gem,技能寶石,
filters/type_filters/category/gem.metagem,Meta Gem,主要寶石,
filters/type_filters/category/gem.supportgem,Support Gem,輔助寶石,
filters/type_filters/category/jewel,Any Jewel,任何珠寶,
filters/type_filters/category/map,Any Endgame Item,任何終局物品,
filters/type_filters/category/map.barya,Barya,巨靈之幣,
filters/type_filters/category/map.bosskey,Pinnacle Key,巔峰鑰匙,
filters/type_filters/category/map.breachstone,Breachstone,裂痕石,
filters/type_filters/category/map.fragment,Map Fragment,地圖碎片,
filters/type_filters/category/map.logbook,Logbook,日誌,
filters/type_filters/category/map.tablet,Tablet,碑牌,
filters/type_filters/category/map.ultimatum,Ultimatum Key,通牒鑰匙,
filters/type_filters/category/map.waystone,Waystone,換界石,
filters/type_filters/category/null,Any,任何,
filters/type_filters/category/sanctum.relic,Relic,古典,
filters/type_filters/category/weapon,Any Weapon,武器,
filters/type_filters/category/weapon.bow,Bow,弓,
filters/type_filters/category/weapon.caster,Any Caster Weapon,任何法術武器,
filters/type_filters/category/weapon.claw,Claw,爪,
filters/type_filters/category/weapon.crossbow,Crossbow,十字弓,
filters/type_filters/category/weapon.dagger,Dagger,匕首,
filters/type_filters/category/weapon.flail,Flail,鏈錘,
filters/type_filters/category/weapon.oneaxe,One-Handed Axe,單手斧,
filters/type_filters/category/weapon.onemace,One-Handed Mace,單手錘,
filters/type_filters/category/weapon.onemelee,Any One-Handed Melee Weapon,任何單手近戰武器,
filters/type_filters/category/weapon.onesword,One-Handed Sword,單手劍,
filters/type_filters/category/weapon.ranged,Any Ranged Weapon,任何遠程武器,
filters/type_filters/category/weapon.rod,Fishing Rod,釣竿,
filters/type_filters/category/weapon.sceptre,Sceptre,權杖,
filters/type_filters/category/weapon.spear,Spear,長鋒,
filters/type_filters/category/weapon.staff,Staff,長杖,
filters/type_filters/category/weapon.talisman,Talisman,魔符,
filters/type_filters/category/weapon.twoaxe,Two-Handed Axe,雙手斧,
filters/type_filters/category/weapon.twomace,Two-Handed Mace,雙手錘,
filters/type_filters/category/weapon.twomelee,Any Two-Handed Melee Weapon,任何雙手近戰武器,
filters/type_filters/category/weapon.twosword,Two-Handed Sword,雙手劍,
filters/type_filters/category/weapon.unarmed,Unarmed,空手,
filters/type_filters/category/weapon.wand,Wand,法杖,
filters/type_filters/category/weapon.warstaff,Quarterstaff,細杖,
filters/type_filters/ilvl,Item Level,物品等級,
filters/type_filters/quality,Item Quality,道具品質,
filters/type_filters/rarity,Item Rarity,物品稀有度,
filters/type_filters/rarity/magic,Magic,魔法,
filters/type_filters/rarity/nonunique,Any Non-Unique,非傳奇道具,
filters/type_filters/rarity/normal,Normal,一般,
filters/type_filters/rarity/null,Any,任何,
filters/type_filters/rarity/rare,Rare,稀有,
filters/type_filters/rarity/unique,Unique,傳奇,
filters/type_filters/rarity/uniquefoil,Unique (Foil),傳奇 (貼模),
items/accessory,Accessories,飾品,
items/accessory/Absent Amulet,Absent Amulet,,
items/accessory/Abyssal Signet,Abyssal Signet,,
items/accessory/Amber Amulet,Amber Amulet,,
items/accessory/Amethyst Ring,Amethyst Ring,,
items/accessory/Andvarius,Andvarius,,
items/accessory/Astramentis,Astramentis,,
items/accessory/Azure Amulet,Azure Amulet,,
items/accessory/Beacon of Azis,Beacon of Azis,,
items/accessory/Berek's Grip,Berek's Grip,,
items/accessory/Berek's Pass,Berek's Pass,,
items/accessory/Berek's Respite,Berek's Respite,,
items/accessory/Bijouborne,Bijouborne,,
items/accessory/Biostatic Ring,Biostatic Ring,,
items/accessory/Birthright Buckle,Birthright Buckle,,
items/accessory/Blackflame,Blackflame,,
items/accessory/Blackheart,Blackheart,,
items/accessory/Blistering Bond,Blistering Bond,,
items/accessory/Bloodstone Amulet,Bloodstone Amulet,,
items/accessory/Breach Ring,Breach Ring,,
items/accessory/Bursting Decay,Bursting Decay,,
items/accessory/Byrnabas,Byrnabas,,
items/accessory/Call of the Brotherhood,Call of the Brotherhood,,
items/accessory/Carnage Heart,Carnage Heart,,
items/accessory/Cat O' Nine Tails,Cat O' Nine Tails,,
items/accessory/Choir of the Storm,Choir of the Storm,,
items/accessory/Corona Amulet,Corona Amulet,,
items/accessory/Coward's Legacy,Coward's Legacy,,
items/accessory/Cracklecreep,Cracklecreep,,
items/accessory/Crimson Amulet,Crimson Amulet,,
items/accessory/Darkness Enthroned,Darkness Enthroned,,
items/accessory/Death Rush,Death Rush,,
items/accessory/Defiance of Destiny,Defiance of Destiny,,
items/accessory/Distorted Amulet,Distorted Amulet,,
items/accessory/Doedre's Damning,Doedre's Damning,,
items/accessory/Double Belt,Double Belt,,
items/accessory/Dream Fragments,Dream Fragments,,
items/accessory/Dusk Amulet,Dusk Amulet,,
items/accessory/Dusk Ring,Dusk Ring,,
items/accessory/Emerald Ring,Emerald Ring,,
items/accessory/Eshtera's Path,Eshtera's Path,,
items/accessory/Eventide Petals,Eventide Petals,,
items/accessory/Evergrasping Ring,Evergrasping Ring,,
items/accessory/Eye of Chayula,Eye of Chayula,,
items/accessory/Fine Belt,Fine Belt,,
items/accessory/Fireflower,Fireflower,,
items/accessory/Fixation of Yix,Fixation of Yix,,
items/accessory/Forking Belt,Forking Belt,,
items/accessory/Gifts from Above,Gifts from Above,,
items/accessory/Gloam Amulet,Gloam Amulet,,
items/accessory/Gloam Ring,Gloam Ring,,
items/accessory/Glowswarm,Glowswarm,,
items/accessory/Gold Amulet,Gold Amulet,,
items/accessory/Gold Ring,Gold Ring,,
items/accessory/Goregirdle,Goregirdle,,
items/accessory/Grasping Ring,Grasping Ring,,
items/accessory/Grip of Kulemak,Grip of Kulemak,,
items/accessory/Headhunter,Headhunter,,
items/accessory/Heartbound Loop,Heartbound Loop,,
items/accessory/Heavy Belt,Heavy Belt,,
items/accessory/Hinekora's Sight,Hinekora's Sight,,
items/accessory/Icefang Orbit,Icefang Orbit,,
items/accessory/Idol of Uldurn,Idol of Uldurn,,
items/accessory/Igniferis,Igniferis,,
items/accessory/Immaculate Adherence,Immaculate Adherence,,
items/accessory/Infernoclasp,Infernoclasp,,
items/accessory/Ingenuity,Ingenuity,,
items/accessory/Invoking Belt,Invoking Belt,,
items/accessory/Iron Ring,Iron Ring,,
items/accessory/Jade Amulet,Jade Amulet,,
items/accessory/Kalandra's Touch,Kalandra's Touch,,
items/accessory/Keelhaul,Keelhaul,,
items/accessory/Kinetic Ring,Kinetic Ring,,
items/accessory/Lament Amulet,Lament Amulet,,
items/accessory/Lapis Amulet,Lapis Amulet,,
items/accessory/Lazuli Ring,Lazuli Ring,,
items/accessory/Levinstone,Levinstone,,
items/accessory/Ligurium Talisman,Ligurium Talisman,,
items/accessory/Linen Belt,Linen Belt,,
items/accessory/Long Belt,Long Belt,,
items/accessory/Lunar Amulet,Lunar Amulet,,
items/accessory/Mageblood,Mageblood,,
items/accessory/Mail Belt,Mail Belt,,
items/accessory/Meginord's Girdle,Meginord's Girdle,,
items/accessory/Midnight Braid,Midnight Braid,,
items/accessory/Ming's Heart,Ming's Heart,,
items/accessory/Mnemonic Ring,Mnemonic Ring,,
items/accessory/Oneiric Ring,Oneiric Ring,,
items/accessory/Original Sin,Original Sin,,
items/accessory/Ornate Belt,Ornate Belt,,
items/accessory/Pearl Ring,Pearl Ring,,
items/accessory/Pearlescent Amulet,Pearlescent Amulet,,
items/accessory/Penumbra Amulet,Penumbra Amulet,,
items/accessory/Penumbra Ring,Penumbra Ring,,
items/accessory/Perandus Seal,Perandus Seal,,
items/accessory/Plate Belt,Plate Belt,,
items/accessory/Polcirkeln,Polcirkeln,,
items/accessory/Portent Amulet,Portent Amulet,,
items/accessory/Prismatic Ring,Prismatic Ring,,
items/accessory/Prized Pain,Prized Pain,,
items/accessory/Rawhide Belt,Rawhide Belt,,
items/accessory/Refined Breach Ring,Refined Breach Ring,,
items/accessory/Revered Resin,Revered Resin,,
items/accessory/Ring,Ring,戒指,
items/accessory/Rondel of Fragility,Rondel of Fragility,,
items/accessory/Ruby Ring,Ruby Ring,,
items/accessory/Runemastered Heavy Belt,Runemastered Heavy Belt,,
items/accessory/Runemastered Veridical Chain,Runemastered Veridical Chain,,
items/accessory/Ryslatha's Coil,Ryslatha's Coil,,
items/accessory/Safrin's Resolve,Safrin's Resolve,,
items/accessory/Sapphire Ring,Sapphire Ring,,
items/accessory/Seed of Cataclysm,Seed of Cataclysm,,
items/accessory/Serpent's Egg,Serpent's Egg,,
items/accessory/Shavronne's Satchel,Shavronne's Satchel,,
items/accessory/Sinew Belt,Sinew Belt,,
items/accessory/Snakepit,Snakepit,,
items/accessory/Solar Amulet,Solar Amulet,,
items/accessory/Soul Tether,Soul Tether,,
items/accessory/Stalking Belt,Stalking Belt,,
items/accessory/Stellar Amulet,Stellar Amulet,,
items/accessory/Stone of Lazhwar,Stone of Lazhwar,,
items/accessory/Strugglescream,Strugglescream,,
items/accessory/Surefooted Sigil,Surefooted Sigil,,
items/accessory/Tenebrous Amulet,Tenebrous Amulet,,
items/accessory/Tenebrous Ring,Tenebrous Ring,,
items/accessory/The Anvil,The Anvil,,
items/accessory/The Burrower,The Burrower,,
items/accessory/The Everlasting Gaze,The Everlasting Gaze,,
items/accessory/The Gnashing Sash,The Gnashing Sash,,
items/accessory/The Pandemonius,The Pandemonius,,
items/accessory/The Taming,The Taming,,
items/accessory/Thief's Torment,Thief's Torment,,
items/accessory/Topaz Ring,Topaz Ring,,
items/accessory/Twisted Amulet,Twisted Amulet,,
items/accessory/Two-Stone Ring,Two-Stone Ring,,
items/accessory/Umbilicus Immortalis,Umbilicus Immortalis,,
items/accessory/Ungil's Harmony,Ungil's Harmony,,
items/accessory/Unset Ring,Unset Ring,,
items/accessory/Utility Belt,Utility Belt,,
items/accessory/Veilpiercer,Veilpiercer,,
items/accessory/Venopuncture,Venopuncture,,
items/accessory/Ventor's Gamble,Ventor's Gamble,,
items/accessory/Veridical Chain,Veridical Chain,,
items/accessory/Vigilant View,Vigilant View,,
items/accessory/Vitalic Ring,Vitalic Ring,,
items/accessory/Waistgate,Waistgate,,
items/accessory/Whisper of the Brotherhood,Whisper of the Brotherhood,,
items/accessory/Wide Belt,Wide Belt,,
items/accessory/Xoph's Blood,Xoph's Blood,,
items/accessory/Yoke of Suffering,Yoke of Suffering,,
items/accessory/Zaida's Longevity,Zaida's Longevity,,
items/accessory/Zerphi's Genesis,Zerphi's Genesis,,
items/armour,Armour,護甲,
items/armour/Ab Aeterno,Ab Aeterno,,
items/armour/Adherent Cuffs,Adherent Cuffs,,
items/armour/Adherent Leggings,Adherent Leggings,,
items/armour/Adherent's Raiment,Adherent's Raiment,,
items/armour/Adorned Wraps,Adorned Wraps,,
items/armour/Aerisvane's Wings,Aerisvane's Wings,,
items/armour/Aged Cuffs,Aged Cuffs,,
items/armour/Aged Tower Shield,Aged Tower Shield,,
items/armour/Alkem Eira,Alkem Eira,,
items/armour/Alpha's Howl,Alpha's Howl,,
items/armour/Altar Robe,Altar Robe,,
items/armour/Ancestor Tower Shield,Ancestor Tower Shield,,
items/armour/Ancestral Mail,Ancestral Mail,,
items/armour/Ancestral Tiara,Ancestral Tiara,,
items/armour/Anchorite Garb,Anchorite Garb,,
items/armour/Ancient Buckler,Ancient Buckler,,
items/armour/Ancient Cuffs,Ancient Cuffs,,
items/armour/Ancient Leggings,Ancient Leggings,,
items/armour/Ancient Mail,Ancient Mail,,
items/armour/Ancient Mitts,Ancient Mitts,,
items/armour/Ancient Visor,Ancient Visor,,
items/armour/Antler Focus,Antler Focus,,
items/armour/Apep's Supremacy,Apep's Supremacy,,
items/armour/Apostle Leggings,Apostle Leggings,,
items/armour/Apron of Emiran,Apron of Emiran,,
items/armour/Armoured Cap,Armoured Cap,,
items/armour/Armoured Vest,Armoured Vest,,
items/armour/Array Buckler,Array Buckler,,
items/armour/Arrayed Focus,Arrayed Focus,,
items/armour/Arvil's Wheel,Arvil's Wheel,,
items/armour/Ascetic Garb,Ascetic Garb,,
items/armour/Ashrend,Ashrend,,
items/armour/Asphyxia's Wrath,Asphyxia's Wrath,,
items/armour/Assailum,Assailum,,
items/armour/Assassin Garb,Assassin Garb,,
items/armour/Atsak's Sight,Atsak's Sight,,
items/armour/Atziri's Acuity,Atziri's Acuity,,
items/armour/Atziri's Disdain,Atziri's Disdain,,
items/armour/Atziri's Splendour,Atziri's Splendour,,
items/armour/Atziri's Step,Atziri's Step,,
items/armour/Aurseize,Aurseize,,
items/armour/Austere Garb,Austere Garb,,
items/armour/Avian Mask,Avian Mask,,
items/armour/Avian Robe,Avian Robe,,
items/armour/Avian Targe,Avian Targe,,
items/armour/Avian Tiara,Avian Tiara,,
items/armour/Bandage Wraps,Bandage Wraps,,
items/armour/Bandit Mask,Bandit Mask,,
items/armour/Bangled Sandals,Bangled Sandals,,
items/armour/Barbarian Plate,Barbarian Plate,,
items/armour/Barbed Bracers,Barbed Bracers,,
items/armour/Baroque Gloves,Baroque Gloves,,
items/armour/Baroque Targe,Baroque Targe,,
items/armour/Barricade Tower Shield,Barricade Tower Shield,,
items/armour/Bastion Sabatons,Bastion Sabatons,,
items/armour/Beaded Circlet,Beaded Circlet,,
items/armour/Bearskin Mantle,Bearskin Mantle,,
items/armour/Beetlebite,Beetlebite,,
items/armour/Belly of the Beast,Belly of the Beast,,
items/armour/Beyond Reach,Beyond Reach,,
items/armour/Birth of Fury,Birth of Fury,,
items/armour/Bitterbloom,Bitterbloom,,
items/armour/Black Sun Crest,Black Sun Crest,,
items/armour/Blackbraid,Blackbraid,,
items/armour/Blackgleam,Blackgleam,,
items/armour/Blacksteel Crest Shield,Blacksteel Crest Shield,,
items/armour/Blacksteel Gauntlets,Blacksteel Gauntlets,,
items/armour/Blacksteel Sabatons,Blacksteel Sabatons,,
items/armour/Blacksteel Tower Shield,Blacksteel Tower Shield,,
items/armour/Bladeguard Buckler,Bladeguard Buckler,,
items/armour/Blazon Crest Shield,Blazon Crest Shield,,
items/armour/Blessed Bonds,Blessed Bonds,,
items/armour/Blood Price,Blood Price,,
items/armour/Bloodbarrier,Bloodbarrier,,
items/armour/Blueflame Bracers,Blueflame Bracers,,
items/armour/Blunt Quiver,Blunt Quiver,,
items/armour/Bolstered Mitts,Bolstered Mitts,,
items/armour/Bone Raiment,Bone Raiment,,
items/armour/Bones of Ullr,Bones of Ullr,,
items/armour/Bound Boots,Bound Boots,,
items/armour/Bound Bracers,Bound Bracers,,
items/armour/Bound Cuffs,Bound Cuffs,,
items/armour/Bound Leggings,Bound Leggings,,
items/armour/Bound Sandals,Bound Sandals,,
items/armour/Braced Sabatons,Braced Sabatons,,
items/armour/Braced Tower Shield,Braced Tower Shield,,
items/armour/Braided Cuffs,Braided Cuffs,,
items/armour/Bramblejack,Bramblejack,,
items/armour/Briarpatch,Briarpatch,,
items/armour/Brigand Mask,Brigand Mask,,
items/armour/Brimmed Helm,Brimmed Helm,,
items/armour/Briskwrap,Briskwrap,,
items/armour/Bristleboar,Bristleboar,,
items/armour/Broadhead Quiver,Broadhead Quiver,,
items/armour/Bronze Greaves,Bronze Greaves,,
items/armour/Bronzebeard,Bronzebeard,,
items/armour/Buckled Wraps,Buckled Wraps,,
items/armour/Bulwark Greaves,Bulwark Greaves,,
items/armour/Bulwark Tower Shield,Bulwark Tower Shield,,
items/armour/Burnished Gauntlets,Burnished Gauntlets,,
items/armour/Bushwhack,Bushwhack,,
items/armour/Cabalist Helm,Cabalist Helm,,
items/armour/Cadiro's Gambit,Cadiro's Gambit,,
items/armour/Calgyra's Arc,Calgyra's Arc,,
items/armour/Cambric Wraps,Cambric Wraps,,
items/armour/Candlemaker,Candlemaker,,
items/armour/Captain Gauntlets,Captain Gauntlets,,
items/armour/Carrion Call,Carrion Call,,
items/armour/Carved Greaves,Carved Greaves,,
items/armour/Carved Targe,Carved Targe,,
items/armour/Cassis Helm,Cassis Helm,,
items/armour/Cavalry Boots,Cavalry Boots,,
items/armour/Ceremonial Robe,Ceremonial Robe,,
items/armour/Chain Mail,Chain Mail,,
items/armour/Chain Tiara,Chain Tiara,,
items/armour/Chain Vestments,Chain Vestments,,
items/armour/Champion Cuirass,Champion Cuirass,,
items/armour/Champion Helm,Champion Helm,,
items/armour/Charmed Shoes,Charmed Shoes,,
items/armour/Chernobog's Pillar,Chernobog's Pillar,,
items/armour/Chieftain Cuirass,Chieftain Cuirass,,
items/armour/Chiseled Targe,Chiseled Targe,,
items/armour/Cinched Boots,Cinched Boots,,
items/armour/Cleric Vestments,Cleric Vestments,,
items/armour/Cloak of Defiance,Cloak of Defiance,,
items/armour/Cloak of Flame,Cloak of Flame,,
items/armour/Cloaked Mail,Cloaked Mail,,
items/armour/Closed Helm,Closed Helm,,
items/armour/Coat of Red,Coat of Red,,
items/armour/Coiled Buckler,Coiled Buckler,,
items/armour/Commander Gauntlets,Commander Gauntlets,,
items/armour/Commander Greathelm,Commander Greathelm,,
items/armour/Conjurer Mantle,Conjurer Mantle,,
items/armour/Conqueror Plate,Conqueror Plate,,
items/armour/Constricting Command,Constricting Command,,
items/armour/Cornathaum,Cornathaum,,
items/armour/Corona of the Red Sun,Corona of the Red Sun,,
items/armour/Corpsewade,Corpsewade,,
items/armour/Corroded Greathelm,Corroded Greathelm,,
items/armour/Corsair Cap,Corsair Cap,,
items/armour/Corsair Coat,Corsair Coat,,
items/armour/Corsair Vest,Corsair Vest,,
items/armour/Corvus Mantle,Corvus Mantle,,
items/armour/Cospri's Will,Cospri's Will,,
items/armour/Couture of Crimson,Couture of Crimson,,
items/armour/Covered Sabatons,Covered Sabatons,,
items/armour/Covert Hood,Covert Hood,,
items/armour/Cowled Helm,Cowled Helm,,
items/armour/Crescent Targe,Crescent Targe,,
items/armour/Crest of Ardura,Crest of Ardura,,
items/armour/Crown of Eyes,Crown of Eyes,,
items/armour/Crown of the Pale King,Crown of the Pale King,,
items/armour/Crown of the Victor,Crown of the Victor,,
items/armour/Crown of Thorns,Crown of Thorns,,
items/armour/Crucible Tower Shield,Crucible Tower Shield,,
items/armour/Cryptic Crown,Cryptic Crown,,
items/armour/Cryptic Helm,Cryptic Helm,,
items/armour/Cryptic Leggings,Cryptic Leggings,,
items/armour/Crystal Focus,Crystal Focus,,
items/armour/Cultist Crown,Cultist Crown,,
items/armour/Cultist Focus,Cultist Focus,,
items/armour/Cultist Gauntlets,Cultist Gauntlets,,
items/armour/Cultist Tower Shield,Cultist Tower Shield,,
items/armour/Cursespeaker's Robe,Cursespeaker's Robe,,
items/armour/Daggerfoot Shoes,Daggerfoot Shoes,,
items/armour/Darkray Vectors,Darkray Vectors,,
items/armour/Dastard Armour,Dastard Armour,,
items/armour/Death Articulated,Death Articulated,,
